latent_dim,single_dim_auc
0,0.6743983866132505
1,0.6302700787616166
2,0.5920747826560924
3,0.517872618755621
4,0.5533234421364985
5,0.6314010846755511
6,0.572558522914606
7,0.5613419057039235
8,0.5680593028643065
9,0.5358706020221841
10,0.5742499175733597
11,0.7516065734608781
12,0.5793230316409125
13,0.5747254244678822
14,0.5232245301681504
15,0.613454882402638
16,0.5401602485487695
17,0.6969765908341575
18,0.5759926961545799
19,0.5754368611935378
20,0.5598206742430436
21,0.5828288822947577
22,0.619423013517969
23,0.5444279591163864
24,0.5410880316518298
25,0.5895581932080449
26,0.5875008242664029
27,0.5518981822145914
28,0.5639663699307617
29,0.5382723376195186
30,0.5385624793933399
31,0.5960003902058335
32,0.6131087673398196
33,0.5610607095242741
34,0.6277533899131791
35,0.5732074237593001
36,0.5209429607649192
37,0.5203000329706561
38,0.5291223620459793
39,0.7321002307945929
40,0.6736053198157687
41,0.6671899272340773
42,0.7390504451038576
43,0.6754269699967029
44,0.5598833564985147
45,0.5406231454005934
46,0.8029923963698798
47,0.5352786020441807
48,0.5225901398086829
49,0.5520507748104188
50,0.5969122175891859
51,0.6243587207385428
52,0.5715331355093967
53,0.5957675850979751
54,0.5837516692557163
55,0.5762809099901087
56,0.5773171994658381
57,0.521474327707866
58,0.5334211296458882
59,0.634559725288202
60,0.6452489284536762
61,0.5850407434660562
62,0.6362603221322869
63,0.5738740520936366
